match_id,half,time,scorer,assister
2026-04-30#1,1H,22:05,Amin,Xavier
2026-04-30#1,1H,22:27,Bailey,
2026-04-30#1,1H,22:30,James,Andres
2026-04-30#1,1H,28:00,Andres,Gio
2026-04-30#1,2H,31:00,Jake,Andres
2026-04-30#1,2H,38:09,James2,Andres
2026-04-30#1,2H,38:30,Amin,Bailey
2026-04-30#1,2H,39:28,Andres,
2026-04-30#1,2H,40:25,Gio,
2026-04-30#1,2H,43:02,James2,Gio
2026-04-30#1,2H,44:00,Gio,
2026-04-30#1,2H,45:50,Lach,Rich
2026-04-30#1,2H,46:25,Xavier,
2026-04-30#1,2H,47:27,James,Gio
2026-04-30#1,2H,49:40,James,Gio
2026-04-30#1,2H,53:25,James,Jake
2026-04-30#1,2H,55:03,Lach,Bailey
